Mobile Money Provider (MNO),Organisation Name,Country,Country ISO Code,Region,Status,Launch Year,Launch Month,P2P transfer (Domestic),Bill payment,P2G,G2P,Other bulk payment,Airtime top up,Merchant payment,International remittances,Send International Remittance,Receive International Remittance,Cash in,Cash out,Technology Partner Names,Bank Partner Names,International Remittance Partner Names,Other Partner Names,Web Address
Airtel Money,Airtel (Bharti Airtel),Kenya,KEN,Sub-Saharan Africa,Live,2009,2,x,x,x,,x,x,x,x,x,x,x,x,Obopay,Citigroup; Standard Chartered,Western Union,Tax collection: Kenya Revenue Authority,https://www.airtelkenya.com/about_money
M-PESA,Safaricom,Kenya,KEN,Sub-Saharan Africa,Live,2007,3,x,x,x,x,x,x,x,x,x,x,x,x,"Huawei, Visa",Bank of Africa; Equity Bank,"Transfer-To, Western Union, MoneyGram, HomeSend Hub, Vodacom Tanzania and MFS Africa Hub, World Remit, Ria Money Transfer","Tax collection: Kenya Revenue Authority
e-govt portal: Ministry of Information Communication and Technology
Health Payments",http://www.safaricom.co.ke/index.php?id=250
Equitel,Equity Bank,Kenya,KEN,Sub-Saharan Africa,Live,2014,7,x,x,,,,x,,x,,x,x,x,,,Western Union,"KPLC, DSTV, HELB, Nairobi Water",https://equitygroupholdings.com/ke/
T-Kash,Telkom (Helios),Kenya,KEN,Sub-Saharan Africa,Live,2018,3,x,x,,,x,x,x,,,,x,x,Interswitch East Africa,,,"KPLC, Star Times, NHIF, DSTV and more",http://www.telkom.co.ke/t-kash-getting-started
Airtel Money,Airtel (Bharti Airtel),Tanzania,TZA,Sub-Saharan Africa,Live,2012,4,x,x,x,,x,x,x,x,,,x,x,Mahindra Comviva,"ZAP Trust Limited, PBZ Bank",World Remit,"Coca Cola; Coca Cola; Oilcom
Tax collection & License Fee Payments: Tanzania Revenue Authority
Social Security: Social Security Revenue Authority (GEPF, LAPF, PSPF)
Electricity Payment: Tanzania Electricity Supply Company
Student Loan Repayment: Higher Education Students Loan Board
QR payments: Mastercard, SelcomOilcom; Tax collection & License Fee Payments: Tanzania Revenue Authority",https://www.airtel.co.tz/airtel_money
Tigo Pesa,Tigo (Honora),Tanzania,TZA,Sub-Saharan Africa,Live,2010,8,x,x,x,x,x,x,x,x,x,x,x,x,Telepin; Mastercard,National Bank of Commerce,"WorldRemit, Western Union, Remitix",Tax Collection: Rwanda Revenue Authority,http://www.tigo.co.tz/
Vodacom M-Pesa,Vodacom (Vodafone),Tanzania,TZA,Sub-Saharan Africa,Live,2008,4,x,x,x,,x,x,x,x,x,x,x,x,Huawei,National Bank of Commerce,"Western Union, MoneyGram, HomeSend",Tax collection & License Fee Payments: Tanzania Revenue Authority,https://vodacom.co.tz/mpesa
HaloPesa,Viettel eCommerce (Halotel),Tanzania,TZA,Sub-Saharan Africa,Live,2016,10,x,x,x,,x,x,,,,,x,x,OUR PLATFORM (VIETTEL ECOMMERCE),,,,https://halotel.co.tz/
T Pesa,TTCL ,Tanzania,TZA,Sub-Saharan Africa,Live,2017,8,x,x,,,,x,,,,,x,x,,,,,https://www.ttcl.co.tz/t-pesa
AzamPesa,AzamPay,Tanzania,TZA,Sub-Saharan Africa,Live,2022,3,x,x,,,,,x,,,,x,x,,,,,https://azampesa.co.tz/
M-Sente,UT Mobile (Uganda Telecom),Uganda,UGA,Sub-Saharan Africa,Live,2010,2,x,x,x,,x,x,x,x,,,x,x,Obopay,Equity Bank Uganda Limited,,,https://www.utl.co.ug/m-sente-6/
Airtel Money,Airtel (Bharti Airtel),Uganda,UGA,Sub-Saharan Africa,Live,2009,1,x,x,x,,x,x,x,x,x,x,x,x,Mahindra Comviva,Citibank; Standard Chartered,"Western Union, World Remit","Azania Bank (Agent) Tax collection & License Fee Payments: Tanzania Revenue Authority, Social Security: Social Security Revenue Authority (GEPF, LAPF, PSPF)",https://www.airtel.co.ug/airtelmoney/faq
MTN MoMo,MTN,Uganda,UGA,Sub-Saharan Africa,Live,2009,10,x,x,x,x,x,x,x,x,x,x,x,x,Ericsson,Stanbic; Standard chartered bank for B2W payments (https://www.pymnts.com/news/partnerships-acquisitions/2018/standard-chartered-mobile-wallet-uganda-straight2bank-faster-payments/) ,"Western Union; WorldRemit, SmallWorld","Tax Collection: Uganda Revenue Authority, Kampala Capital City Authority
Social Security and Pension Payments: NSSF
Kwese TV",https://www.mtn.co.ug/mtn-momo/customer/
EzeeMoney,EzeeMoney,Uganda,UGA,Sub-Saharan Africa,Live,2013,1,x,x,x,,x,x,x,,,,x,x,Mobile Money International,Centenary Bank,,,https://www.ezeemoney.co.ug/
MCash,MobiCash,Uganda,UGA,Sub-Saharan Africa,Live,2012,2,x,x,,x,x,x,x,x,,,x,x,Tagattitude,,,,http://www.mcash.ug/
Micropay Mobile Money Service,Micropay,Uganda,UGA,Sub-Saharan Africa,Live,2014,11,x,x,,,,,x,x,,,x,x,,Centenary Bank,,,http://micropay.co.ug/
Lyca Money,Lyca Mobile,Uganda,UGA,Sub-Saharan Africa,Live,2020,1,x,x,,,,x,,,,,,,,,,,https://www.lycamobile.ug/en/mobile-money/